date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:54:36	53007/53007	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2005:56:11%20GMT	https://pixel-store.net/	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/index.html	(from )
02:54:36	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2028%20Oct%202022%2003:40:18%20GMT	https://pixel-store.net/robots.txt		(from )
02:54:37	155758/155758	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202022%2003:40:28%20GMT	https://pixel-store.net/css/bootstrap.min.css	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/css/bootstrap.min.css	(from https://pixel-store.net/)
02:54:38	4601/4601	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202022%2003:40:28%20GMT	https://pixel-store.net/css/core.css	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/css/core.css	(from https://pixel-store.net/)
02:54:38	266470/266470	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202022%2003:40:20%20GMT	https://pixel-store.net/favicon.png	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/favicon.png	(from https://pixel-store.net/)
02:54:38	9563/9563	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202022%2003:40:34%20GMT	https://pixel-store.net/images/logo.png	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/images/logo.png	(from https://pixel-store.net/)
02:54:38	1875/1875	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Dec%202022%2005:56:12%20GMT	https://pixel-store.net/discord	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/discord	(from https://pixel-store.net/)
02:54:39	85316/85316	---M--	200	added ('OK')	image/gif	date:Fri,%2028%20Oct%202022%2003:40:38%20GMT	https://pixel-store.net/images/gateways/pagseguro.gif	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/images/gateways/pagseguro.gif	(from https://pixel-store.net/)
02:54:39	265047/265047	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202022%2003:40:38%20GMT	https://pixel-store.net/images/gateways/mercadopago.png	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/images/gateways/mercadopago.png	(from https://pixel-store.net/)
02:54:39	11935/11935	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2005:56:13%20GMT	https://pixel-store.net/comprar/minecraft-key	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/comprar/minecraft-key.html	(from https://pixel-store.net/)
02:54:40	11947/11947	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2005:56:14%20GMT	https://pixel-store.net/comprar/minecraft-full-acesso-completo	C:/Users/55519/Desktop/Meu%20Siteziin/Sitezin%20Minecraft/pixel-store.net/comprar/minecraft-full-acesso-completo.html	(from https://pixel-store.net/)
